AnnoS;AteneoCOD;AteneoNOME;Lau_D
2024;701;Aosta;13
2024;7201;Bari;104
2024;7202;Bari Politecnico;6
2024;7601;Basilicata;2
2024;6202;Benevento Giustino Fortunato - telematica;6
2024;1601;Bergamo;103
2024;3701;Bologna;1220
2024;2101;Bolzano;122
2024;401;Bra Scienze Gastronomiche;14
2024;1701;Brescia;76
2024;2701;Ca' Foscari Venezia;235
2024;9201;Cagliari;51
2024;7801;Calabria;106
2024;4302;Camerino;75
2024;6001;Cassino;175
2024;1201;Castellanza LIUC;13
2024;8701;Catania;87
2024;7901;Catanzaro;13
2024;6901;Chieti e Pescara;42
2024;8601;Enna KORE;1
2024;3801;Ferrara;92
2024;4801;Firenze;342
2024;4804;Firenze IUL - telematica;5
2024;7101;Foggia;10
2024;1001;Genova;430
2024;1202;Insubria;50
2024;6601;L'Aquila;179
2024;4301;Macerata;57
2024;4201;Marche;58
2024;8301;Messina;118
2024;1501;Milano;663
2024;1509;Milano Bicocca;101
2024;1503;Milano Bocconi;1110
2024;1504;Milano Cattolica;395
2024;1505;Milano IULM;68
2024;1502;Milano Politecnico;1969
2024;1508;Milano San Raffaele;46
2024;3601;Modena e Reggio Emilia;103
2024;7001;Molise;3
2024;6304;Napoli Benincasa;5
2024;6301;Napoli Federico II;88
2024;6303;Napoli L'Orientale;8
2024;6302;Napoli Parthenope;34
2024;6307;Napoli Pegaso - telematica;90
2024;6306;Napoli Vanvitelli;50
2024;1301;Novedrate e-Campus - telematica;155
2024;2801;Padova;1422
2024;8201;Palermo;143
2024;3401;Parma;164
2024;1801;Pavia;440
2024;5401;Perugia;101
2024;5403;Perugia Stranieri;48
2024;201;Piemonte Orientale;120
2024;5001;Pisa;267
2024;8001;Reggio Calabria;5
2024;8003;Reggio Calabria - Dante Alighieri;8
2024;5814;Roma  Mercatorum - telematica;54
2024;5808;Roma Biomedico;1
2024;5812;Roma Europea;15
2024;5806;Roma Foro Italico;15
2024;5801;Roma La Sapienza;1530
2024;5817;Roma Link Campus;12
2024;5805;Roma Luiss;263
2024;5803;Roma LUMSA;92
2024;5810;Roma Marconi - telematica;40
2024;5818;Roma Saint Camillus;18
2024;5816;Roma San Raffaele - telematica;23
2024;5802;Roma Tor Vergata;362
2024;5807;Roma Tre;65
2024;5815;Roma UNICUSANO - telematica;32
2024;5813;Roma UNINETTUNO - telematica;16
2024;5809;Roma UNINT;14
2024;5811;Roma UNITELMA - telematica;7
2024;1510;Rozzano (MI) Humanitas University;61
2024;7501;Salento;42
2024;6501;Salerno;67
2024;6201;Sannio;7
2024;9001;Sassari;37
2024;5201;Siena;234
2024;5202;Siena Stranieri;9
2024;6701;Teramo;14
2024;101;Torino;447
2024;102;Torino Politecnico;1036
2024;2201;Trento;263
2024;3201;Trieste;106
2024;5601;Tuscia;82
2024;3001;Udine;69
2024;4101;Urbino;73
2024;2702;Venezia Iuav;92
2024;2301;Verona;106
2023;701;Aosta;16
2023;7201;Bari;83
2023;7202;Bari Politecnico;7
2023;7601;Basilicata;1
2023;6202;Benevento Giustino Fortunato - telematica;7
2023;1601;Bergamo;113
2023;3701;Bologna;1181
2023;2101;Bolzano;129
2023;401;Bra Scienze Gastronomiche;33
2023;1701;Brescia;65
2023;2701;Ca' Foscari Venezia;165
2023;9201;Cagliari;65
2023;7801;Calabria;82
2023;4302;Camerino;95
2023;6001;Cassino;165
2023;1201;Castellanza LIUC;12
2023;8701;Catania;62
2023;7901;Catanzaro;3
2023;6901;Chieti e Pescara;36
2023;8601;Enna KORE;2
2023;3801;Ferrara;108
2023;4801;Firenze;351
2023;7101;Foggia;7
2023;1001;Genova;327
2023;1202;Insubria;45
2023;6601;L'Aquila;147
2023;4301;Macerata;77
2023;4201;Marche;63
2023;8301;Messina;71
2023;1501;Milano;595
2023;1509;Milano Bicocca;103
2023;1503;Milano Bocconi;1001
2023;1504;Milano Cattolica;337
2023;1505;Milano IULM;70
2023;1502;Milano Politecnico;825
2023;1508;Milano San Raffaele;35
2023;3601;Modena e Reggio Emilia;96
2023;7001;Molise;4
2023;6304;Napoli Benincasa;2
2023;6301;Napoli Federico II;64
2023;6303;Napoli L'Orientale;9
2023;6302;Napoli Parthenope;23
2023;6307;Napoli Pegaso - telematica;65
2023;6306;Napoli Vanvitelli;43
2023;1301;Novedrate e-Campus - telematica;83
2023;2801;Padova;977
2023;8201;Palermo;111
2023;3401;Parma;135
2023;1801;Pavia;326
2023;5401;Perugia;100
2023;5403;Perugia Stranieri;47
2023;201;Piemonte Orientale;76
2023;5001;Pisa;204
2023;8001;Reggio Calabria;4
2023;8003;Reggio Calabria - Dante Alighieri;16
2023;5814;Roma  Mercatorum - telematica;47
2023;5808;Roma Biomedico;3
2023;5812;Roma Europea;23
2023;5806;Roma Foro Italico;9
2023;5801;Roma La Sapienza;1191
2023;5817;Roma Link Campus;4
2023;5805;Roma Luiss;223
2023;5803;Roma LUMSA;59
2023;5810;Roma Marconi - telematica;25
2023;5818;Roma Saint Camillus;57
2023;5816;Roma San Raffaele - telematica;12
2023;5802;Roma Tor Vergata;293
2023;5807;Roma Tre;62
2023;5815;Roma UNICUSANO - telematica;56
2023;5813;Roma UNINETTUNO - telematica;29
2023;5809;Roma UNINT;10
2023;5811;Roma UNITELMA - telematica;8
2023;1510;Rozzano (MI) Humanitas University;46
2023;7501;Salento;23
2023;6501;Salerno;58
2023;6201;Sannio;6
2023;9001;Sassari;44
2023;5201;Siena;184
2023;5202;Siena Stranieri;16
2023;6701;Teramo;18
2023;101;Torino;428
2023;102;Torino Politecnico;1024
2023;2201;Trento;248
2023;3201;Trieste;109
2023;5601;Tuscia;23
2023;3001;Udine;57
2023;4101;Urbino;69
2023;2702;Venezia Iuav;88
2023;2301;Verona;99
2022;701;Aosta;10
2022;7201;Bari;50
2022;7202;Bari Politecnico;7
2022;7601;Basilicata;2
2022;6202;Benevento Giustino Fortunato - telematica;7
2022;1601;Bergamo;107
2022;3701;Bologna;1068
2022;2101;Bolzano;111
2022;401;Bra Scienze Gastronomiche;20
2022;1701;Brescia;57
2022;2701;Ca' Foscari Venezia;124
2022;9201;Cagliari;44
2022;7801;Calabria;87
2022;4302;Camerino;84
2022;7203;Casamassima – LUM G. Degennaro;1
2022;6001;Cassino;97
2022;1201;Castellanza LIUC;12
2022;8701;Catania;50
2022;7901;Catanzaro;4
2022;6901;Chieti e Pescara;34
2022;3801;Ferrara;83
2022;4801;Firenze;330
2022;4804;Firenze IUL - telematica;3
2022;7101;Foggia;4
2022;1001;Genova;299
2022;1202;Insubria;41
2022;6601;L'Aquila;92
2022;4301;Macerata;53
2022;4201;Marche;58
2022;8301;Messina;51
2022;1501;Milano;551
2022;1509;Milano Bicocca;111
2022;1503;Milano Bocconi;936
2022;1504;Milano Cattolica;289
2022;1505;Milano IULM;35
2022;1502;Milano Politecnico;289
2022;1508;Milano San Raffaele;31
2022;3601;Modena e Reggio Emilia;94
2022;7001;Molise;5
2022;6304;Napoli Benincasa;6
2022;6301;Napoli Federico II;30
2022;6303;Napoli L'Orientale;19
2022;6302;Napoli Parthenope;26
2022;6307;Napoli Pegaso - telematica;56
2022;6306;Napoli Vanvitelli;21
2022;1301;Novedrate e-Campus - telematica;79
2022;2801;Padova;582
2022;8201;Palermo;67
2022;3401;Parma;107
2022;1801;Pavia;300
2022;5401;Perugia;80
2022;5403;Perugia Stranieri;44
2022;201;Piemonte Orientale;63
2022;5001;Pisa;178
2022;8001;Reggio Calabria;10
2022;8003;Reggio Calabria - Dante Alighieri;15
2022;5814;Roma  Mercatorum - telematica;31
2022;5808;Roma Biomedico;3
2022;5812;Roma Europea;9
2022;5806;Roma Foro Italico;10
2022;5801;Roma La Sapienza;950
2022;5817;Roma Link Campus;6
2022;5805;Roma Luiss;186
2022;5803;Roma LUMSA;53
2022;5810;Roma Marconi - telematica;6
2022;5818;Roma Saint Camillus;22
2022;5816;Roma San Raffaele - telematica;9
2022;5802;Roma Tor Vergata;246
2022;5807;Roma Tre;60
2022;5815;Roma UNICUSANO - telematica;35
2022;5813;Roma UNINETTUNO - telematica;20
2022;5809;Roma UNINT;14
2022;5811;Roma UNITELMA - telematica;6
2022;1510;Rozzano (MI) Humanitas University;57
2022;7501;Salento;20
2022;6501;Salerno;44
2022;6201;Sannio;1
2022;9001;Sassari;28
2022;5201;Siena;186
2022;5202;Siena Stranieri;17
2022;6701;Teramo;23
2022;101;Torino;359
2022;102;Torino Politecnico;1019
2022;2201;Trento;179
2022;3201;Trieste;98
2022;5601;Tuscia;11
2022;3001;Udine;56
2022;4101;Urbino;66
2022;2702;Venezia Iuav;71
2022;2301;Verona;68
2021;701;Aosta;18
2021;7201;Bari;55
2021;7202;Bari Politecnico;6
2021;7601;Basilicata;2
2021;6202;Benevento Giustino Fortunato - telematica;2
2021;1601;Bergamo;85
2021;3701;Bologna;1056
2021;2101;Bolzano;84
2021;401;Bra Scienze Gastronomiche;33
2021;1701;Brescia;57
2021;2701;Ca' Foscari Venezia;100
2021;9201;Cagliari;59
2021;7801;Calabria;58
2021;4302;Camerino;96
2021;7203;Casamassima – LUM G. Degennaro;1
2021;6001;Cassino;61
2021;1201;Castellanza LIUC;13
2021;8701;Catania;28
2021;7901;Catanzaro;6
2021;6901;Chieti e Pescara;26
2021;8601;Enna KORE;2
2021;3801;Ferrara;104
2021;4801;Firenze;393
2021;4804;Firenze IUL - telematica;2
2021;7101;Foggia;5
2021;1001;Genova;286
2021;1202;Insubria;44
2021;6601;L'Aquila;87
2021;4301;Macerata;47
2021;4201;Marche;62
2021;8301;Messina;31
2021;1501;Milano;529
2021;1509;Milano Bicocca;119
2021;1503;Milano Bocconi;956
2021;1504;Milano Cattolica;256
2021;1505;Milano IULM;31
2021;1502;Milano Politecnico;284
2021;1508;Milano San Raffaele;26
2021;3601;Modena e Reggio Emilia;126
2021;7001;Molise;4
2021;6304;Napoli Benincasa;6
2021;6301;Napoli Federico II;47
2021;6303;Napoli L'Orientale;19
2021;6302;Napoli Parthenope;1
2021;6307;Napoli Pegaso - telematica;44
2021;6306;Napoli Vanvitelli;11
2021;1301;Novedrate e-Campus - telematica;60
2021;2801;Padova;517
2021;8201;Palermo;56
2021;3401;Parma;123
2021;1801;Pavia;246
2021;5401;Perugia;98
2021;5403;Perugia Stranieri;39
2021;201;Piemonte Orientale;54
2021;5001;Pisa;187
2021;8001;Reggio Calabria;21
2021;8003;Reggio Calabria - Dante Alighieri;15
2021;5814;Roma  Mercatorum - telematica;17
2021;5808;Roma Biomedico;2
2021;5812;Roma Europea;16
2021;5806;Roma Foro Italico;10
2021;5801;Roma La Sapienza;1001
2021;5817;Roma Link Campus;5
2021;5805;Roma Luiss;136
2021;5803;Roma LUMSA;65
2021;5810;Roma Marconi - telematica;17
2021;5818;Roma Saint Camillus;18
2021;5816;Roma San Raffaele - telematica;6
2021;5802;Roma Tor Vergata;228
2021;5807;Roma Tre;72
2021;5815;Roma UNICUSANO - telematica;42
2021;5813;Roma UNINETTUNO - telematica;7
2021;5809;Roma UNINT;20
2021;5811;Roma UNITELMA - telematica;7
2021;1510;Rozzano (MI) Humanitas University;28
2021;7501;Salento;5
2021;6501;Salerno;78
2021;6201;Sannio;1
2021;9001;Sassari;40
2021;5201;Siena;171
2021;5202;Siena Stranieri;15
2021;6701;Teramo;22
2021;101;Torino;346
2021;102;Torino Politecnico;925
2021;2201;Trento;168
2021;3201;Trieste;109
2021;5601;Tuscia;15
2021;3001;Udine;72
2021;4101;Urbino;84
2021;2702;Venezia Iuav;33
2021;2301;Verona;68
2020;701;Aosta;16
2020;7201;Bari;39
2020;7202;Bari Politecnico;8
2020;7601;Basilicata;1
2020;1601;Bergamo;103
2020;3701;Bologna;1014
2020;2101;Bolzano;114
2020;401;Bra Scienze Gastronomiche;23
2020;1701;Brescia;51
2020;2701;Ca' Foscari Venezia;102
2020;9201;Cagliari;30
2020;7801;Calabria;87
2020;4302;Camerino;86
2020;6001;Cassino;75
2020;1201;Castellanza LIUC;9
2020;8701;Catania;29
2020;7901;Catanzaro;6
2020;6901;Chieti e Pescara;43
2020;3801;Ferrara;94
2020;4801;Firenze;335
2020;7101;Foggia;4
2020;1001;Genova;226
2020;1202;Insubria;49
2020;6601;L'Aquila;70
2020;4301;Macerata;41
2020;4201;Marche;60
2020;8301;Messina;48
2020;1501;Milano;457
2020;1509;Milano Bicocca;137
2020;1503;Milano Bocconi;747
2020;1504;Milano Cattolica;247
2020;1505;Milano IULM;35
2020;1502;Milano Politecnico;293
2020;1508;Milano San Raffaele;26
2020;3601;Modena e Reggio Emilia;114
2020;7001;Molise;3
2020;6304;Napoli Benincasa;2
2020;6301;Napoli Federico II;41
2020;6303;Napoli L'Orientale;14
2020;6302;Napoli Parthenope;19
2020;6307;Napoli Pegaso - telematica;20
2020;6306;Napoli Vanvitelli;20
2020;1301;Novedrate e-Campus - telematica;42
2020;2801;Padova;332
2020;8201;Palermo;40
2020;3401;Parma;103
2020;1801;Pavia;172
2020;5401;Perugia;94
2020;5403;Perugia Stranieri;60
2020;201;Piemonte Orientale;26
2020;5001;Pisa;180
2020;8003;Reggio Calabria - Dante Alighieri;15
2020;5814;Roma  Mercatorum - telematica;2
2020;5808;Roma Biomedico;3
2020;5812;Roma Europea;3
2020;5806;Roma Foro Italico;18
2020;5801;Roma La Sapienza;794
2020;5817;Roma Link Campus;7
2020;5805;Roma Luiss;157
2020;5803;Roma LUMSA;53
2020;5810;Roma Marconi - telematica;11
2020;5816;Roma San Raffaele - telematica;9
2020;5802;Roma Tor Vergata;214
2020;5807;Roma Tre;98
2020;5815;Roma UNICUSANO - telematica;26
2020;5813;Roma UNINETTUNO - telematica;15
2020;5809;Roma UNINT;10
2020;5811;Roma UNITELMA - telematica;6
2020;1510;Rozzano (MI) Humanitas University;21
2020;7501;Salento;13
2020;6501;Salerno;64
2020;6201;Sannio;1
2020;9001;Sassari;53
2020;5201;Siena;181
2020;5202;Siena Stranieri;26
2020;6701;Teramo;24
2020;101;Torino;344
2020;102;Torino Politecnico;692
2020;2201;Trento;161
2020;3201;Trieste;102
2020;5601;Tuscia;2
2020;3001;Udine;89
2020;4101;Urbino;76
2020;2702;Venezia Iuav;28
2020;2301;Verona;75
2019;701;Aosta;19
2019;7201;Bari;50
2019;7202;Bari Politecnico;13
2019;7601;Basilicata;1
2019;1601;Bergamo;80
2019;3701;Bologna;959
2019;2101;Bolzano;95
2019;401;Bra Scienze Gastronomiche;19
2019;1701;Brescia;56
2019;2701;Ca' Foscari Venezia;83
2019;9201;Cagliari;32
2019;7801;Calabria;106
2019;4302;Camerino;66
2019;6001;Cassino;73
2019;1201;Castellanza LIUC;12
2019;8701;Catania;11
2019;7901;Catanzaro;7
2019;6901;Chieti e Pescara;40
2019;8601;Enna KORE;3
2019;3801;Ferrara;99
2019;4801;Firenze;324
2019;4804;Firenze IUL - telematica;2
2019;7101;Foggia;2
2019;1001;Genova;256
2019;1202;Insubria;47
2019;6601;L'Aquila;102
2019;4301;Macerata;21
2019;4201;Marche;51
2019;8301;Messina;24
2019;1501;Milano;475
2019;1509;Milano Bicocca;97
2019;1503;Milano Bocconi;546
2019;1504;Milano Cattolica;211
2019;1505;Milano IULM;27
2019;1502;Milano Politecnico;264
2019;1508;Milano San Raffaele;21
2019;3601;Modena e Reggio Emilia;113
2019;7001;Molise;7
2019;6304;Napoli Benincasa;3
2019;6301;Napoli Federico II;24
2019;6303;Napoli L'Orientale;17
2019;6302;Napoli Parthenope;3
2019;6307;Napoli Pegaso - telematica;4
2019;6306;Napoli Vanvitelli;24
2019;1301;Novedrate e-Campus - telematica;23
2019;2801;Padova;265
2019;8201;Palermo;34
2019;3401;Parma;110
2019;1801;Pavia;152
2019;5401;Perugia;89
2019;5403;Perugia Stranieri;64
2019;201;Piemonte Orientale;33
2019;5001;Pisa;157
2019;8001;Reggio Calabria;2
2019;8003;Reggio Calabria - Dante Alighieri;17
2019;5814;Roma  Mercatorum - telematica;5
2019;5808;Roma Biomedico;3
2019;5812;Roma Europea;1
2019;5806;Roma Foro Italico;13
2019;5801;Roma La Sapienza;652
2019;5817;Roma Link Campus;2
2019;5805;Roma Luiss;95
2019;5803;Roma LUMSA;35
2019;5810;Roma Marconi - telematica;14
2019;5816;Roma San Raffaele - telematica;4
2019;5802;Roma Tor Vergata;166
2019;5807;Roma Tre;77
2019;5815;Roma UNICUSANO - telematica;33
2019;5813;Roma UNINETTUNO - telematica;5
2019;5809;Roma UNINT;7
2019;5811;Roma UNITELMA - telematica;1
2019;1510;Rozzano (MI) Humanitas University;3
2019;7501;Salento;13
2019;6501;Salerno;56
2019;6201;Sannio;9
2019;9001;Sassari;25
2019;5201;Siena;150
2019;5202;Siena Stranieri;21
2019;6701;Teramo;20
2019;101;Torino;328
2019;102;Torino Politecnico;699
2019;2201;Trento;155
2019;3201;Trieste;119
2019;5601;Tuscia;1
2019;3001;Udine;85
2019;4101;Urbino;53
2019;2702;Venezia Iuav;44
2019;2301;Verona;75
2018;701;Aosta;8
2018;7201;Bari;46
2018;7202;Bari Politecnico;6
2018;7601;Basilicata;14
2018;1601;Bergamo;55
2018;3701;Bologna;842
2018;2101;Bolzano;93
2018;401;Bra Scienze Gastronomiche;24
2018;1701;Brescia;48
2018;2701;Ca' Foscari Venezia;79
2018;9201;Cagliari;35
2018;7801;Calabria;85
2018;4302;Camerino;61
2018;7203;Casamassima – LUM G. Degennaro;1
2018;6001;Cassino;35
2018;1201;Castellanza LIUC;7
2018;8701;Catania;21
2018;7901;Catanzaro;3
2018;6901;Chieti e Pescara;36
2018;3801;Ferrara;86
2018;4801;Firenze;302
2018;4804;Firenze IUL - telematica;2
2018;7101;Foggia;7
2018;1001;Genova;281
2018;1202;Insubria;43
2018;6601;L'Aquila;98
2018;4301;Macerata;24
2018;4201;Marche;44
2018;8301;Messina;23
2018;1501;Milano;372
2018;1509;Milano Bicocca;84
2018;1503;Milano Bocconi;354
2018;1504;Milano Cattolica;153
2018;1505;Milano IULM;33
2018;1502;Milano Politecnico;267
2018;1508;Milano San Raffaele;18
2018;3601;Modena e Reggio Emilia;93
2018;7001;Molise;3
2018;6304;Napoli Benincasa;3
2018;6301;Napoli Federico II;24
2018;6303;Napoli L'Orientale;12
2018;6302;Napoli Parthenope;1
2018;6307;Napoli Pegaso - telematica;6
2018;6306;Napoli Vanvitelli;5
2018;1301;Novedrate e-Campus - telematica;24
2018;2801;Padova;214
2018;8201;Palermo;19
2018;3401;Parma;122
2018;1801;Pavia;152
2018;5401;Perugia;104
2018;5403;Perugia Stranieri;68
2018;201;Piemonte Orientale;30
2018;5001;Pisa;160
2018;8001;Reggio Calabria;3
2018;8003;Reggio Calabria - Dante Alighieri;9
2018;5814;Roma  Mercatorum - telematica;1
2018;5808;Roma Biomedico;4
2018;5812;Roma Europea;2
2018;5806;Roma Foro Italico;11
2018;5801;Roma La Sapienza;466
2018;5817;Roma Link Campus;5
2018;5805;Roma Luiss;76
2018;5803;Roma LUMSA;51
2018;5810;Roma Marconi - telematica;7
2018;5816;Roma San Raffaele - telematica;6
2018;5802;Roma Tor Vergata;91
2018;5807;Roma Tre;117
2018;5815;Roma UNICUSANO - telematica;20
2018;5813;Roma UNINETTUNO - telematica;8
2018;5809;Roma UNINT;11
2018;5811;Roma UNITELMA - telematica;1
2018;1510;Rozzano (MI) Humanitas University;1
2018;7501;Salento;13
2018;6501;Salerno;38
2018;6201;Sannio;8
2018;9001;Sassari;29
2018;5201;Siena;112
2018;5202;Siena Stranieri;11
2018;6701;Teramo;23
2018;101;Torino;276
2018;102;Torino Politecnico;502
2018;6902;Torrevecchia Teatina Leonardo da Vinci - telematica;2
2018;2201;Trento;151
2018;3201;Trieste;150
2018;3001;Udine;56
2018;4101;Urbino;91
2018;2702;Venezia Iuav;42
2018;2301;Verona;78
2017;701;Aosta;5
2017;7201;Bari;41
2017;7202;Bari Politecnico;4
2017;7601;Basilicata;6
2017;6202;Benevento Giustino Fortunato - telematica;2
2017;1601;Bergamo;60
2017;3701;Bologna;754
2017;2101;Bolzano;68
2017;401;Bra Scienze Gastronomiche;15
2017;1701;Brescia;65
2017;2701;Ca' Foscari Venezia;58
2017;9201;Cagliari;25
2017;7801;Calabria;116
